Record ID	President	Administration/Term	Date	Year	Document Title	Document Type	Audience	Historical Context/Event	Group Mentioned (verbatim)	Group Category	Valence	Rationale (why positive/negative/etc.)	Excerpt / Quote	Topic Tags	Source URL	Source (collection/site)	Notes
REC-0046	Benjamin Harrison	1889–1893	###############################################################################################################################################################################################################################################################	1892	Proclamation 334—Law and Order in State of Idaho	Proclamation	Residents of Idaho; U.S. public	Coeur d'Alene labor conflict / violence; federal call to restore order	persons engaged in unlawful combinations and assemblages	Violent rioters / unlawful assemblages	Negative	Declares the situation a crisis of law and order and directly commands participants in unlawful combinations to disperse.	I do hereby command and warn all persons engaged in such unlawful combinations and assemblages to disperse and retire peaceably to their respective abodes	labor violence; unlawful assemblage; domestic violence; public order	https://www.presidency.ucsb.edu/documents/proclamation-334-law-and-order-state-idaho	The American Presidency Project (UCSB)	"Replaces inaugural with a more developed, crisis-oriented condemnation."
REC-0047	Grover Cleveland	1893–1897	1893-03-04	1893	Second Inaugural Address	Inaugural address	The American people	Start of Cleveland’s second term amid economic uncertainty; appeals to civic responsibility and mutual confidence.	every citizen	Americans (citizens) / civic duty	Positive	Frames citizens as capable moral agents with shared responsibility for just government and national welfare.	I believe that our strength and safety depend upon the enlightened and patriotic care of every citizen	civic duty; patriotism; responsibility; governance	https://millercenter.org/the-presidency/presidential-speeches/march-4-1893-second-inaugural-address	Miller Center (UVA)	Positive group framing: emphasizes ‘every citizen’ as enlightened/patriotic steward of public welfare.
REC-0048	Grover Cleveland	1893–1897	###############################################################################################################################################################################################################################################################	1894	Proclamation 366—Protection against Domestic Violence in the State of Illinois	Proclamation	Residents of Illinois; U.S. public	Pullman Strike / railroad disruptions; federal intervention	persons engaged in unlawful obstructions and assemblages	Strike obstructions / unlawful assemblages	Negative	Frames obstructers and participants in violence as unlawful and orders immediate dispersal; authorizes federal force if needed.	to disperse and retire peaceably to their respective abodes	strike; domestic violence; railroads; federal intervention; public order	https://www.presidency.ucsb.edu/documents/proclamation-366-protection-against-domestic-violence-the-state-illinois	The American Presidency Project (UCSB)	Substitutes a major domestic-crisis proclamation for the inaugural.
REC-0049	William McKinley	1897–1901	1897-03-04	1897	Inaugural Address	Inaugural address	The American people	Start of McKinley presidency after economic depression; stresses national unity and prosperity.	the sturdy farmers of America	Occupational group / farmers	Positive	"Praises farmers as foundational to the nation’s welfare and prosperity, emphasizing their importance and stability."	Let us remember that the sturdy farmers of America are the basis of our prosperity	prosperity; agriculture; national economy; unity	https://millercenter.org/the-presidency/presidential-speeches/march-4-1897-inaugural-address	Miller Center (UVA)	Positive group framing: explicit praise of farmers as the basis of prosperity.
REC-0050	William McKinley	1897–1901	###############################################################################################################################################################################################################################################################	1899	Third Annual Message	Annual Message to Congress	Congress; national public	Debates over federal jurisdiction after repeated lynchings of foreign nationals	blind mob fury	Mob violence / lynchers	Negative	"Condemns lynchers as a recurring “blind mob fury,” highlighting failure of punishment and urging federal action."	The recurrence of these distressing manifestations of blind mob fury	lynching; mob violence; aliens/foreign nationals; federal jurisdiction	https://www.presidency.ucsb.edu/documents/third-annual-message-15	The American Presidency Project (UCSB)	Replaces inaugural with a detailed annual message addressing a concrete domestic issue.
REC-0051	Theodore Roosevelt	1901–1909	1901-12-03	1901	First Annual Message	Annual message to Congress	U.S. Congress	First annual message after McKinley’s assassination; outlines domestic/foreign policy plus military readiness and modernization.	The American cavalryman	Military / U.S. Army (cavalry)	Positive	Explicitly praises American cavalrymen as an elite ‘best type of soldier’ and describes their training/skills as exemplary.	is the best type of soldier for general purposes now to be found in the world.	military; army reform; readiness; national defense	https://millercenter.org/the-presidency/presidential-speeches/december-3-1901-first-annual-message	Miller Center (UVA)	Positive group framing: direct superlative praise of a U.S. military subgroup.
REC-0052	Theodore Roosevelt	1901–1909	1901-12-03	1901	First Annual Message	Annual message to Congress	U.S. Congress	McKinley assassination; Roosevelt condemns anarchist violence and warns against incitement that threatens democratic government.	that body of criminals who object to all governments	Criminals / anarchists / anti-government extremists	Negative	"Defines and condemns the group as criminal, anti-government, and hostile to lawful popular liberty—framing them as a threat to democracy and order."	an utterly depraved criminal belonging to that body of criminals who object to all governments	anarchism; political violence; public order; assassination; extremism	https://millercenter.org/the-presidency/presidential-speeches/december-3-1901-first-annual-message	Miller Center (UVA)	Negative group framing: explicitly labels anarchist-identified anti-government actors as a criminal class.
REC-0053	William Howard Taft	1909–1913	1909-03-04	1909	Inaugural Address	Inaugural address	The American people	Start of Taft presidency; emphasizes continuity with Roosevelt reforms and confidence in democratic self-government.	the sober sense and mature judgment of the people	Americans (citizens) / civic character	Positive	Praises the public’s ‘sober sense’ and ‘mature judgment’ as a stabilizing force for reform and governance.	the sober sense and mature judgment of the people	civic virtue; democratic judgment; reform; governance	https://millercenter.org/the-presidency/presidential-speeches/march-4-1909-inaugural-address	Miller Center (UVA)	Positive group framing: emphasizes the people’s maturity and sound judgment.
REC-0054	William Howard Taft	1909–1913	1909-03-04	1910	Special Message to Congress (re Sherman Act / federal incorporation)	Special Message to Congress (re Sherman Act / federal incorporation)	Congress; national public	re Sherman Act / federal incorporation	those who attempt to monopoloze	Monopolists	Negative	he frames monopoly behavior as not just illegal but socially harmful	"the monopoly or attempt to monopolize… must be restrained and punished until ended … not only unlawful, but contrary to the public good"""	monopoly	https://www.presidency.ucsb.edu/documents/special-message-378	Presidency project	Negative group framing: denounces advocates of violence as undermining lawful reform.
REC-0055	Woodrow Wilson	1913–1921	1913-03-04	1913	Inaugural Address	Inaugural address	The American people	Start of Wilson’s presidency; Progressive Era reform agenda focused on economic justice and restoring opportunity.	been obliged to use their strength and their skill to serve	Working people / laborers	Positive	"Frames working Americans as deserving fairness and protection from exploitation, emphasizing their dignity and contribution."	to the service of those who have been obliged to use their strength and their skill	Progressive Era; labor; economic justice; reform	https://millercenter.org/the-presidency/presidential-speeches/march-4-1913-inaugural-address	Miller Center (UVA)	Positive group framing: elevates the dignity of working people and centers reform on their welfare.
REC-0056	Woodrow Wilson	1913–1921	1919-09-25	1919	"Address at the Princess Theater in Cheyenne, Wyoming"	Address / remarks	Public audience (League of Nations / Treaty tour)	1919 tour promoting the Treaty of Versailles / League of Nations; domestic opposition	hyphenated Americans (portrayed as disloyal Americans)	Anti-treaty activists / 'hyphenated Americans' (as framed by Wilson)	Negative	"Wilson targets ""hyphenated Americans"" as a suspect internal group, accusing them of divided loyalty and framing them as undermining the treaty effort."	The only organized forces in this country which are fighting this treaty are the forces of hyphenated Americans. There are pro-German forces everywhere	WWI; loyalty; nationalism; dissent	https://www.presidency.ucsb.edu/documents/address-the-princess-theater-cheyenne-wyoming	The American Presidency Project (UCSB)	Replaces inaugural with a later speech; date should be verified against the source header if you need absolute precision.
REC-0057	Warren G. Harding	1921–1923	1921-11-11	1921	Address at the Burial of an Unknown American Soldier at Arlington Cemetery	Spoken address	Public ceremony at Arlington National Cemetery	Post–World War I commemoration; burial of the Unknown Soldier; national mourning and a push for peace and civic unity.	thousands of Americans who have given their blood for the baptism of freedom	Veterans / U.S. war dead / soldiers	Positive	"Offers reverence and gratitude to Americans who served and died, portraying them as heroic defenders of freedom and national conscience."	Sleeping in these hallowed grounds are thousands of Americans who have given their blood for the baptism of freedom	World War I; veterans; commemoration; national unity; peace	https://www.presidency.ucsb.edu/documents/address-the-burial-unknown-american-soldier-arlington-cemetery	The American Presidency Project (UCSB)	"Deeper pick than an inaugural: extended ceremonial address with developed moral framing of service, sacrifice, and national duty."
REC-0058	Warren G. Harding	1921–1923	1921-08-30	1921	Proclamation 1606—Protection Against Domestic Violence in West Virginia	Proclamation	State of West Virginia / public notice	West Virginia coalfield violence and armed march (late Aug 1921); federal response to domestic violence/insurrectionary proceedings.	all persons engaged in said unlawful and insurrectionary proceedings	Insurgents / armed bands / lawbreakers (coalfield violence)	Negative	"Directly labels the group’s actions as “unlawful” and “insurrectionary,” commanding dispersal and submission to authorities—strong condemnation with enforcement threat."	command all persons engaged in said unlawful and insurrectionary proceedings to disperse and retire peaceably	labor conflict; domestic violence; insurrection; West Virginia; proclamation; federal force	https://www.presidency.ucsb.edu/documents/proclamation-1606-protection-against-domestic-violence-west-virginia	The American Presidency Project (UCSB)	More ‘damning’ than inaugurals: legal/forceful language targeting a specific group for unlawful actions during a crisis.
REC-0059	Calvin Coolidge	1923–1929	1923-12-06	1923	First Annual Message	Annual message to Congress	U.S. Congress	"Coolidge’s first annual message after succeeding Harding; outlines domestic priorities and post–WWI obligations, including veterans’ care."	its veterans	Veterans / former service members	Positive	Frames veterans as owed a primary national duty and calls for care administered with “the broadest and deepest human sympathy.”	No more important duty falls on the Government of the United States than the adequate care of its veterans.	veterans; public duty; postwar care; welfare policy	https://www.presidency.ucsb.edu/documents/first-annual-message-20	The American Presidency Project (UCSB)	"Non-inaugural, developed policy text: strong affirmative obligation toward veterans (care, hospitals, compensation)."
REC-0060	Calvin Coolidge	1923–1929	1924-12-03	1924	Second Annual Message	Annual message to Congress	U.S. Congress	Written annual message emphasizing domestic policy issues including criminal justice reforms and prison reform.	banned criminals	Criminals / lawbreakers	Negative	Coolidge describes criminals as a harmful influence and supports reforms to separate first offenders from hardened criminal elements.	"""...segregating them from contact with banned criminals..."""	crime; criminal justice; prison reform; domestic policy	https://www.presidency.ucsb.edu/documents/second-annual-message-18	The American Presidency Project	‘More damning’ developed text: frames certain immigrants/aliens as undesirable if they won’t adopt the ‘American spirit’; calls for restriction + registration.
REC-0061	Herbert Hoover	1929–1933	1929-12-03	1929	First Annual Message	Annual message to Congress	U.S. Congress	Early Great Depression period; Hoover emphasizes voluntary cooperation and organized civic action as a hallmark of American life.	the generous cooperation of our people	Americans (citizens) / civic cooperation	Positive	Praises the public’s voluntary cooperation and community action as essential to meeting national challenges.	the generous cooperation of our people	Great Depression; civic cooperation; voluntarism; community relief	https://www.presidency.ucsb.edu/documents/first-annual-message-24	The American Presidency Project (UCSB)	"Non-inaugural, developed text: frames civic cooperation/voluntarism as an American strength in crisis."
REC-0062	Herbert Hoover	1929–1933	1930-12-02	1930	Second Annual Message	Annual message to Congress	U.S. Congress	Deepening Depression; ongoing Prohibition enforcement controversies; concerns about organized lawbreaking and public corruption.	organized criminals engaged in the liquor traffic	Organized crime / bootleggers	Negative	"Condemns a specific group as organized criminals and frames them as corrupting law enforcement and public life—strong, explicit denunciation."	organized criminals engaged in the liquor traffic	Prohibition; organized crime; law enforcement; corruption; bootlegging	https://www.presidency.ucsb.edu/documents/second-annual-message-9	The American Presidency Project (UCSB)	More ‘damning’ developed text: targets organized criminals/bootleggers as a threat to law and public integrity.
REC-0063	Franklin D. Roosevelt	1933–1945	1933-03-12	1933	Fireside Chat 1: On the Banking Crisis	Radio address (Fireside Chat)	American public (radio)	Banking crisis and bank holiday; FDR explains emergency banking actions and urges calm public confidence.	the people of this country	Americans (citizens) / public confidence	Positive	Praises Americans’ calmness and cooperation during the bank holiday and frames collective confidence as essential to recovery.	I can assure you that it is safer to keep your money in a reopened bank than under the mattress.	Great Depression; banking crisis; public confidence; emergency policy; communication	https://www.presidency.ucsb.edu/documents/fireside-chat-1-banking-crisis	The American Presidency Project (UCSB)	"Non-inaugural, policy-forward: a major crisis communication praising public cooperation and urging trust in institutions."
REC-0064	Franklin D. Roosevelt	1933–1945	1936-10-31	1936	"Address at Madison Square Garden, New York City"	Campaign address / presidential speech	Public audience (NYC)	New Deal coalition politics; defense of reforms and attack on concentrated private power during the 1936 election.	economic royalists	Economic elites / anti–New Deal interests	Negative	Explicitly condemns a domestic power group as seeking to control government and undermine reforms; frames them as hostile to democracy and the ‘common welfare.’	They are unanimous in their hate for me—and I welcome their hatred.	New Deal; economic power; elites; populism; democracy; class conflict	https://www.presidency.ucsb.edu/documents/address-madison-square-garden-new-york-city	The American Presidency Project (UCSB)	More ‘damning’ developed text: direct rhetorical attack on ‘economic royalists’ as a threatening domestic group.
REC-0065	Harry S. Truman	1945–1953	1947-06-29	1947	Address Before the National Association for the Advancement of Colored People	Spoken address	NAACP conference attendees (Lincoln Memorial)	Civil rights agenda and post–World War II democracy framing; Truman advocates for civil rights as a national priority.	the National Association for the Advancement of Colored People	Civil rights organization	Positive	Directly congratulates the NAACP for its effective work improving democratic processes.	The occasion of meeting with you here at the Lincoln Memorial affords me the opportunity to congratulate the association upon its effective work for the improvement of our democratic processes.	civil rights; democracy; equality; NAACP	https://www.presidency.ucsb.edu/documents/address-before-the-national-association-for-the-advancement-colored-people	The American Presidency Project (UCSB)	Verbatim sentence from APP transcript; positive evaluation of a named American organization.
REC-0066	Harry S. Truman	1945–1953	1947-03-21	1947	Executive Order 9835—Prescribing Procedures for the Administration of an Employees Loyalty Program in the Executive Branch of the Government	Executive order	Executive branch departments/agencies; public record	Early Cold War domestic security concerns; establishes loyalty investigations and boards for federal employees.	any disloyal or subversive person	Disloyal/subversive persons (as defined by loyalty program)	Negative	Defines the presence of disloyal/subversive persons in government service as a threat to democratic processes.	"WHEREAS, although the loyalty of by far the overwhelming majority of all Government employees is beyond question, the presence within the Government service of any disloyal or subversive person constitutes a threat to our democratic processes; and"	Cold War; loyalty program; internal security; subversion	https://www.presidency.ucsb.edu/documents/executive-order-9835-prescribing-procedures-for-the-administration-employees-loyalty	The American Presidency Project (UCSB)	Verbatim preamble sentence from APP transcript; explicit negative characterization of a targeted group.
REC-0067	Dwight D. Eisenhower	1953–1961	1957-09-24	1957	Radio and Television Address to the American People on the Situation in Little Rock	Major address to the nation (radio/TV)	American public (radio/television)	Little Rock school desegregation crisis; Eisenhower explains federal enforcement of court orders and appeals to lawful civic conduct.	the overwhelming majority of our people in every section of the country	Americans (citizens) / law-abiding majority	Positive	"Praises the broad public for respect for law even amid disagreement, framing them as united and responsible citizens."	The overwhelming majority of our people in every section of the country are united in their respect for observance of the law	civil rights; desegregation; rule of law; federal courts; public order	https://www.presidency.ucsb.edu/documents/radio-and-television-address-the-american-people-the-situation-little-rock	The American Presidency Project (UCSB)	Verbatim excerpt (short clause) from the Little Rock address praising the law-respecting majority.
REC-0068	Dwight D. Eisenhower	1953–1961	1957-09-24	1957	Radio and Television Address to the American People on the Situation in Little Rock	Major address to the nation (radio/TV)	American public (radio/television)	Little Rock school desegregation crisis; Eisenhower condemns obstruction and violence preventing compliance with federal court orders.	demagogic extremists	Extremists / agitators / disorderly mobs (obstructionists)	Negative	"Strongly condemns the group as demagogic and disorderly, blaming them for deliberate obstruction of federal court orders."	"under the leadership of demagogic extremists, disorderly mobs have deliberately prevented the carrying out of proper orders from a Federal Court"	civil rights; desegregation; mob violence; extremism; obstruction of justice; federal enforcement	https://www.presidency.ucsb.edu/documents/radio-and-television-address-the-american-people-the-situation-little-rock	The American Presidency Project (UCSB)	Verbatim excerpt (one sentence clause) from the Little Rock address condemning extremists and mobs for obstructing the courts.
REC-0069	John F. Kennedy	1961–1963	1962-10-10	1962	Remarks Upon Signing Bill for the Construction of Mental Retardation Facilities and Community Mental Health Centers	Remarks	Congress; national public	Signing of law	congress	Congress men / disabled population	Positive	"Last Bill kennedy signed, to provide resources for mental health services and research"	The mentally ill and the mentally retarded need no longer be alien to our affections or beyond the help of our communities.	mental health	https://www.presidency.ucsb.edu/documents/remarks-upon-signing-bill-for-the-construction-mental-retardation-facilities-and-community	The American Presidency Project (UCSB)	Verbatim excerpt from JFK remarks praising federal prosecutors for results in anti-crime efforts.
REC-0070	John F. Kennedy	1961–1963	1962-10-10	1962	Proclamation 3554—Obstructions of Justice in the State of Alabama	Proclimations	Alabama	"The governor of Alabama had deployed the Alabama National Guard to stop African-American students from attending all-white public schools across many cities in Alabama. President Kennedy invoked the Insurrection Act, federalized the Alabama Guard, and ordered it stand down."	alabama national guard	racists	Negative	Federalizes national guard and orders them to stand down	"Whereas the Governor of the State of Alabama, together with certain other officials of that State, and other persons, individually and in unlawful assemblies, combinations, and conspiracies, have been and are willfully opposing and obstructing the execution of the laws of the United States"	organized crime; racketeering; enforcement; prosecution; gambling	https://www.presidency.ucsb.edu/documents/proclamation-3554-obstructions-justice-the-state-alabama	The American Presidency Project (UCSB)	Verbatim excerpt from JFK remarks describing pressure applied to criminals/racketeers.
REC-0071	Lyndon B. Johnson	1963–1969	1965-03-15	1965	Speech Before Congress on Voting Rights	Speech to Congress	U.S. Congress	Selma voting-rights protests and violence; Johnson urges Congress to pass a voting rights bill and frames the struggle as a national moral test.	long-suffering men and women	Civil rights protesters / African American citizens (Selma)	Positive	Describes the protesters as long-suffering and peaceful while asserting their status as Americans seeking their rights.	"There, long-suffering men and women peacefully protested the denial of their rights as Americans."	civil rights; voting rights; Selma; equality; protest; democracy	https://millercenter.org/the-presidency/presidential-speeches/march-15-1965-speech-congress-voting-rights	Miller Center (UVA)	Verbatim sentence describing the Selma protesters as peaceful Americans seeking their rights.
REC-0072	Lyndon B. Johnson	1963–1969	1965-03-26	1965	Sent Federal Troops to protect civil rights marchers during Selma	Proclimations	Alabama	"In fights against CR activists, Johnson federalized the AL "	a hooded society of bigots	Ku Klux Klan / white supremacist vigilantes	Negative	"Directly condemns the Klan as bigoted and disloyal, framing them as a threat to community peace and the United States."	"the Governor of the State of Alabama has advised me that the state is unable and refuses to provide for the safety and welfare, among others, of the plaintiffs and the members of the class they represent"	anti-civil rights; terrorism; civil rights; violence; law enforcement; bigotry	https://www.presidency.ucsb.edu/documents/proclamation-3645-providing-federal-assistance-the-state-alabama	The American Presidency Project (UCSB)	Verbatim sentence: taking state troops and mobilizing them under the fed
REC-0073	Richard Nixon	1969–1974	1969-11-03	1969	Address to the Nation on the War in Vietnam	Radio and television address (Major to the Nation)	American public (radio/television)	Vietnam War and widespread domestic protest; Nixon appeals to public support for his approach to ending the war and maintaining national unity.	the great silent majority of my fellow Americans	Americans (silent majority) / national public	Positive	"Frames a broad group of Americans as 'great' and centers them as legitimate national voice, asking for their support as a stabilizing majority."	"And so tonight--to you, the great silent majority of my fellow Americans--I ask for your support."	Vietnam War; public opinion; national unity; silent majority; patriotism	https://www.presidency.ucsb.edu/documents/address-the-nation-the-war-vietnam	The American Presidency Project (UCSB)	Verbatim sentence from the address emphasizing the 'great silent majority' as a valued national constituency.
REC-0074	Richard Nixon	1969–1974	1972-02-03	1972	"Conversation Among President Nixon, the President’s Assistant for National Security Affairs (Kissinger), and the President’s Deputy Assistant for National Security Affairs (Haig)1"	Conversation in Oval Office	kissenger	Talking about political enemies	kissenger	"Liberals, press, professors"	Negative	Explicitly targets drug pushers for punishment and describes a nationwide 'all-out offensive' against them—strong condemnation and enforcement framing.	"The press is the enemy. The press is the enemy. The establishment is the enemy. The professors are the enemy. Professors are the enemy. Write that on the blackboard 100 times and never forget it. 	war on drugs; law enforcement; youth; public health; crime	https://history.state.gov/historicaldocuments/frus1969-76v09/d175	US History	Verbatim sentence from the remarks describing a nationwide offensive to punish drug pushers.
REC-0075	Gerald Ford	1974–1977	1975-01-15	1975	Address Before a Joint Session of the Congress Reporting on the State of the Union	State of the Union address	U.S. Congress	Mid-1970s stagflation and post-Watergate trust crisis; Ford appeals for public confidence and shared sacrifice to address inflation and recession.	the American people	Americans (citizens) / public trust	Positive	"Addresses and elevates the public as partners in national recovery, directly appealing to their civic trust and engagement."	"I ask the American people to take this to heart: I have not asked you to believe in my infallibility, but I have asked you to believe in my sincerity."	economy; inflation; recession; public trust; governance	https://www.presidency.ucsb.edu/documents/address-before-joint-session-the-congress-reporting-the-state-the-union-2	The American Presidency Project (UCSB)	Verbatim sentence directly addressing the American people and appealing to civic trust in presidential sincerity.
REC-0076	Gerald Ford	1974–1977	1974-09-16	1974	Proclamation 4363—Announcing a Program for the Return of Vietnam Era Draft Evaders and Military Deserters	Proclamation	Public / eligible individuals	Post–Vietnam War reconciliation; Ford issues a clemency program requiring alternative service for certain draft evaders/deserters.	draft evaders and military deserters	Draft evaders / deserters	Negative	"Defines the group as having broken obligations (evaded or deserted) and subjects them to a structured clemency/alternative service process, implicitly condemning the conduct."	The return of these persons is essential to the restoration of harmony within our Nation and to the healing of the wounds of war.	Vietnam War; draft; desertion; clemency; national reconciliation; obligations	https://www.presidency.ucsb.edu/documents/proclamation-4363-announcing-program-for-the-return-vietnam-era-draft-evaders	The American Presidency Project (UCSB)	Verbatim sentence referencing return of draft evaders/deserters as necessary for national healing; group is singled out for remedial program due to prior evasion/desertion.
REC-0077	Jimmy Carter	1977–1981	1979-07-15	1979	"Address to the Nation on Energy and National Goals (""Crisis of Confidence"")"	Radio and television address	American public (radio/television)	"Energy crisis and economic malaise; Carter urges national unity and a shift in values and goals, warning of a 'crisis of confidence.'"	good and decent people	Americans (citizens) / public	Positive	"Frames Americans as earnest and seeking honest leadership, implying moral seriousness and civic decency in the public."	"The people are looking for honest answers, not easy answers; clear leadership, not false claims and evasiveness and politics as usual."	energy crisis; national unity; civic values; leadership; trust	https://www.presidency.ucsb.edu/documents/address-the-nation-energy-and-national-goals	The American Presidency Project (UCSB)	Verbatim sentence describing the public’s desire for honest answers and clear leadership—affirming civic expectations.
REC-0078	Jimmy Carter	1977–1981	1979-07-15	1979	"Address to the Nation on Energy and National Goals (""Crisis of Confidence"")"	Radio and television address	American public (radio/television)	Carter diagnoses political and social malaise; criticizes manipulation of public opinion and policy by entrenched interests.	powerful special interests	Special interests / entrenched power	Negative	Assigns blame to 'powerful special interests' for misdirecting public frustration and undermining collective problem-solving.	"They've convinced the people that their problems are the fault of government, the fault of labor, the fault of each other, and not the fault of powerful special interests."	special interests; political cynicism; blame shifting; governance; public trust	https://www.presidency.ucsb.edu/documents/address-the-nation-energy-and-national-goals	The American Presidency Project (UCSB)	Verbatim sentence explicitly blaming 'powerful special interests' for shaping public blame narratives.
REC-0079	Ronald Reagan	1981–1989	1984-06-06	1984	"Remarks at a Ceremony Commemorating the 40th Anniversary of the Normandy Invasion, D-day"	Spoken remarks	"Veterans/public ceremony (Pointe du Hoc, France)"	40th anniversary of D-Day; Reagan honors U.S. Army Rangers and Allied forces and uses the commemoration to reaffirm democratic resolve.	nation of immigrants	American Immigrants	Positive	Explicit tribute identifying the Rangers as exemplars of heroism and sacrifice at D-Day commemoration.	"Our nation is a nation of immigrants. More than any other country, our strength comes from our own immigrant heritage"	World War II; D-Day; veterans; commemoration; patriotism; sacrifice	https://www.presidency.ucsb.edu/documents/remarks-ceremony-commemorating-the-40th-anniversary-the-normandy-invasion-d-day	The American Presidency Project (UCSB)	Verbatim single-sentence identification from the Pointe du Hoc address.
REC-0080	Ronald Reagan	1981–1989	1986-09-14	1986	Remarks at a White House Briefing for the Coalition for Fiscal Restraint	White house members	American public (television)	talks about political opponents to fiscal restraint	Iron Triangle	"Press, congressmen, special interests"	Negative	Alludes to corruption	"You know, some have questioned the accuracy of my description last month of an ``iron triangle'' composed of some members of Congress, the media, and special interest groups, which work against our efforts for fiscal responsibility in order to increase the size of government"	policy; press; congress; special interests	https://www.reaganlibrary.gov/archives/speech/remarks-white-house-briefing-coalition-fiscal-restraint	Reagan Library	Verbatim sentence from the briefing describing the press, Congress, and special interest groups as an "iron triangle" opposing fiscal responsibility.
REC-0081	George H. W. Bush	1989–1993	1990-09-11	1990	Address Before a Joint Session of the Congress on the Persian Gulf Crisis and the Federal Budget Deficit	Address to Congress	U.S. Congress	Iraq’s invasion of Kuwait; U.S. coalition buildup and debate over use of force; Bush frames objectives and supports the troops while addressing domestic budget issues.	our men and women in uniform	Military / service members	Positive	Directly praises service members and expresses national pride in their conduct and duty.	And let me say to our men and women in uniform: We are deeply proud of you.	Gulf War; military; patriotism; national unity; foreign policy	https://www.presidency.ucsb.edu/documents/address-before-joint-session-the-congress-the-persian-gulf-crisis-and-the	The American Presidency Project (UCSB)	Verbatim sentence praising ‘our men and women in uniform’ during the Gulf crisis.
REC-0082	George H. W. Bush	1989–1993	1989-09-05	1989	Address to the Nation on the National Drug Control Strategy	Address to the nation (television)	American public (television)	Prime-time address outlining a national drug control strategy and calling for tougher law enforcement against drug crimes.	drug dealers	Drug pushers / dealers	Negative	Bush frames drug dealers as criminals who endanger American communities and calls for swift and certain punishment.	"""these deadbeat fathers…” “those that leave mothers with paying all the bills.” “We’re cracking down on those people"""	crime; drugs; law enforcement; domestic policy	https://www.govinfo.gov/content/pkg/PPP-1992-book2/html/PPP-1992-book2-doc-pg2107.htm	Gov Info.gov	WARNING: This record has mixed content from multiple documents. The excerpt, URL (1992 doc), and notes (Iraq reference) do not match the stated title (1989 Drug Control Strategy). Needs manual reconstruction.
REC-0083	Bill Clinton	1993–2001	1995-04-21	1995	Remarks and an Exchange With Reporters on the Oklahoma City Bombing	Exchange with reporters / remarks	Press briefing (White House)	After the Oklahoma City bombing; Clinton updates the public and praises investigative and rescue response while urging restraint as the investigation continues.	law enforcement officials	Law enforcement / investigators	Positive	"Expresses pride in law enforcement’s swift, decisive work, framing them as competent protectors and agents of justice."	First let me say how very proud I am of the swift and decisive and determined work of law enforcement officials on this case throughout the country.	Oklahoma City; law enforcement; investigation; terrorism; justice	https://www.presidency.ucsb.edu/documents/remarks-and-exchange-with-reporters-the-oklahoma-city-bombing-0	The American Presidency Project (UCSB)	"Verbatim sentence praising law enforcement officials for swift, decisive work on the case."
REC-0084	Bill Clinton	1993–2001	1995-04-19	1995	"Remarks on the Bombing of the Alfred P. Murrah Federal Building in Oklahoma City, Oklahoma"	Spoken remarks	Press briefing (White House)	Immediate response to the Oklahoma City bombing; Clinton condemns the perpetrators and promises swift and severe justice.	These people are killers	Bombing perpetrators / murderers / domestic terrorists	Negative	"Directly labels the perpetrators as killers and calls for severe treatment, using forceful moral and legal condemnation."	"These people are killers, and they must be treated like killers."	Oklahoma City; domestic terrorism; mass murder; justice; condemnation	https://www.presidency.ucsb.edu/documents/remarks-the-bombing-the-alfred-p-murrah-federal-building-oklahoma-city-oklahoma	The American Presidency Project (UCSB)	Verbatim sentence condemning the bombing perpetrators as killers and demanding severe treatment.
REC-0085	George W. Bush	2001–2009	2001-09-14	2001	"Address to the Nation Delivered at the National Cathedral, Washington, D.C."	Address to the nation	American public / memorial service	"After the September 11 attacks; national mourning and resolve; Bush frames unity, comfort for victims’ families, and determination to confront terrorism."	the American people	Americans (citizens) / nation in mourning	Positive	Centers national solidarity and shared resilience; addresses the American people as a unified community facing tragedy together.	"The American people have known casualties, but not at this scale."	9/11; national unity; mourning; resilience; terrorism	https://www.presidency.ucsb.edu/documents/address-the-nation-delivered-the-national-cathedral-washington-dc	The American Presidency Project (UCSB)	Verbatim sentence from the National Cathedral address referencing the American people in the context of shared loss.
REC-0086	George W. Bush	2001–2009	2002-07-30	2002	President Calls for Constitutional Amendment Protecting Marriage	Call to Action	American public (White House)	Bill signing after major corporate scandals; emphasizes corporate accountability and punishing fraud in corporate America.	every dishonest corporate leader	Financial sector / Wall Street speculators	Negative	Bush condemns dishonest corporate leaders for fraud and deception and emphasizes punishment and accountability under the new law.	"The American people have known casualties, but not at this scale."	corporate fraud; business ethics; regulation; accountability	https://www.presidency.ucsb.edu/documents/remarks-signing-the-sarbanes-oxley-act-2002	The American Presidency Project	WARNING: Record has mixed data from multiple documents. Title says "Constitutional Amendment Protecting Marriage" but URL links to Sarbanes-Oxley signing remarks. Context/excerpt may also be from a third document. Needs manual reconstruction.
REC-0087	Barack Obama	2009–2017	2012-06-12	2012	Remarks on Immigration	Major address to the Nation (spoken remarks)	American public (television)	Announcement of DACA	"for all intents and purposes, are americans"	Dreamers/Immigrants	Positive	"Praises ""Dreamers"" in the wake of the signing of DACA"	"it makes no sense to expel talented young people, who, for all intents and purposes, are Americans -- they’ve been raised as Americans; understand themselves to be part of this country"	immigration	https://obamawhitehouse.archives.gov/the-press-office/2012/06/15/remarks-president-immigration	white house archives	sentence
