President	Term start	Term end	Start-of-term item type	Start headline / topic line (verbatim)	Start newspaper title	Start date (issue)	Start page	Start link (URL)	End-of-term item type	End headline / topic line (verbatim)	End newspaper title	End date (issue)	End page	End link (URL)	Archive / collection	Rights note (plain-English)	Notes / context	Suggested search keywords
Woodrow Wilson	1913-03-04	1921-03-04	Newspaper page (OCR text view)	Wilson inaugurated (coverage of March 1913 inauguration)	"Crater Lake herald. (Rogue River, Or.)"	1913-03-27	1	https://www.loc.gov/resource/sn96088488/1913-03-27/ed-1/?sp=1&st=text	Newspaper page (OCR text view)	Wilson's popularity on wane ... (critical political coverage)	"Richmond palladium and sun-telegram. (Richmond, Ind.)"	1914-07-10	1	https://www.loc.gov/resource/sn86058226/1914-07-10/ed-1/?sp=1&st=text	Library of Congress – Chronicling America / NDNP	"The Library of Congress believes that the newspapers in Chronicling America are in the public domain or have no known copyright restrictions. Newspapers published in the United States more than 95 years ago are in the public domain in their entirety. Any newspapers in Chronicling America that were published less than 95 years ago are also believed to be in the public domain, but may contain some copyrighted third party materials."	Both links follow standard Chronicling America URL patterns; please verify exact headline text and page placement in OCR view.	Woodrow Wilson inauguration newspaper; Woodrow Wilson criticism end of term newspaper; site:loc.gov chroniclingamerica
Warren G. Harding	1921-03-04	1923-08-02	Inauguration coverage / excerpts of inaugural address	"“Forward, America! The Nation's New Creed Is Shown In Excerpts From Harding Address”"	"The Morning Tulsa daily world. (Tulsa, Oklahoma)"	1921-03-05	1	https://chroniclingamerica.loc.gov/lccn/sn85042345/1921-03-05/ed-1/seq-1/	Scandal coverage / corruption critique (Teapot Dome & Daugherty investigations)	“PLOT TO CHOKE OFF OIL QUIZ” (Teapot Dome special includes criticism tying scandals to the late President Harding and the Ohio ring.)	"The daily worker. (Chicago, Illinois)"	1924-03-19	1	https://chroniclingamerica.loc.gov/lccn/sn84020097/1924-03-19/ed-1/seq-1/	Library of Congress — Chronicling America (Historic American Newspapers)	"These are U.S. newspaper pages (1921, 1924) digitized by the Library of Congress. They are generally treated as public domain (95+ years old), but always credit the source and quote only what you need (headlines/short excerpts)."	"Start: inauguration-era coverage presenting Harding’s message as a unifying national “creed” (positive framing). End: within 10 years of Harding’s death/term, scandal coverage (Teapot Dome/Daugherty) depicts the Harding circle as corrupt, reflecting post-presidency backlash."	"1921 'Forward, America!' Harding address Tulsa; 1924 Daily Worker Teapot Dome 'late President Harding' Ohio ring"
Calvin Coolidge	1923-08-02	1929-03-04	Newspaper front-page text (OCR)	CALVIN COOLIDGE SWORN IN AS NATION’S PRESIDENT	"The Bismarck tribune. (Bismarck, N.D.)"	1923-08-03	Image 1 (seq-1)	https://chroniclingamerica.loc.gov/lccn/sn85042243/1923-08-03/ed-1/seq-1/	Magazine (national)	"THE PRESIDENCY: The Coolidge Week: Apr. 23, 1928"	TIME	"Apr 23, 1928"	Image 1 (seq-1)	https://time.com/archive/6778049/the-presidency-the-coolidge-week-apr-23-1928/	Miller Center (millercenter.org)	"Headline-length quotation only; links go to Library of Congress-hosted newspaper scans. LoC states Chronicling America newspapers are believed to be public domain or have no known copyright restrictions, but items <95 years old may contain copyrighted third-party material; do your own final rights check."	Start item: simple swearing-in coverage after Harding’s death. End item: former President Coolidge publicly corrected by Navy officials (within 10 years after leaving office).	Coolidge sworn in 1923 Bismarck tribune; Navy men object to Coolidge 1930
Herbert Hoover	1929-03-04	1933-03-04	Newspaper photo caption / front-page text (OCR)	Pictured here are President Hoover and members of the new federal farm board ... extensive machinery to cure the farmers' ills.	"The Bismarck tribune. (Bismarck, N.D.)"	1929-07-19	Image 1 (seq-1)	https://chroniclingamerica.loc.gov/lccn/sn85042243/1929-07-19/ed-1/seq-1/	Newspaper front-page text (OCR)	Hoover Ignored Appeal For Help To The Veterans	"The Waterbury Democrat. (Waterbury, Conn.)"	1932-08-01	Image 1 (seq-1)	https://chroniclingamerica.loc.gov/lccn/sn82014085/1932-08-01/ed-1/seq-1/	Library of Congress – Chronicling America / NDNP	"Headline-length quotation only; links go to Library of Congress-hosted newspaper scans. LoC states Chronicling America newspapers are believed to be public domain or have no known copyright restrictions, but items <95 years old may contain copyrighted third-party material; do your own final rights check."	Start item: early-term photo/caption framing Hoover’s farm relief efforts. End item: Bonus Army/veterans crisis coverage blaming Hoover for refusing aid.	Hoover farm board first meeting July 1929; Hoover ignored appeal veterans Aug 1932 Waterbury Democrat
Franklin D. Roosevelt	1933-03-04	1945-04-12	Newspaper editorial (OCR)	The Bank Holiday.	"Evening star. (Washington, D.C.)"	1933-03-06	Page A-8 (seq-8)	https://chroniclingamerica.loc.gov/lccn/sn83045462/1933-03-06/ed-1/seq-8/	Newspaper front-page text (OCR)	Hoover Accuses FDR of ‘Dictatorship’	"The Bismarck tribune. (Bismarck, N.D.)"	1935-08-12	Image 1 (seq-1)	https://chroniclingamerica.loc.gov/lccn/sn85042243/1935-08-12/ed-1/seq-1/	Library of Congress – Chronicling America / NDNP	"Headline-length quotation only; links go to Library of Congress-hosted newspaper scans. LoC states Chronicling America newspapers are believed to be public domain or have no known copyright restrictions, but items <95 years old may contain copyrighted third-party material; do your own final rights check."	Start item: editorial endorses the emergency bank holiday at the outset of the New Deal. End item: prominent criticism framing Roosevelt’s policies as dictatorial (example of later-term opposition). Alternate end-of-presidency coverage (death announcement): https://chroniclingamerica.loc.gov/lccn/sn95079130/1945-04-12/ed-1/seq-1/ocr/	Evening Star bank holiday editorial March 1933; Hoover accuses Roosevelt dictatorship Aug 1935
Harry S. Truman	1945-04-12	1953-01-20	Succession coverage (FDR death; Truman sworn in)	"His successor Harry S. Truman, was sworn in as the nation’s 32nd chief executive in Washington at 7.00 P. M. Thursday."	"Dickenson County herald. [volume] (Clintwood, Va.)"	1945-04-12	1	https://chroniclingamerica.loc.gov/lccn/sn95079130/1945-04-12/ed-1/seq-1/	Political critique / anti–Fair Deal editorial (late-term backlash)	"Harry Truman’s Fair Deal government, following the precedents set by Franklin D. Roosevelt’s New Deal, has collected in a little more than six years over 12 billion dollars more than all of the presidents before him (including the latr FDR) over a period of 156 years."	"The Durant news. (Durant, Miss.)"	1952-04-10	1	https://chroniclingamerica.loc.gov/lccn/sn87065228/1952-04-10/ed-1/seq-1/	Library of Congress — Chronicling America (Historic American Newspapers)	"Chronicling America pages are believed to be public domain or to have no known copyright restrictions. For newspapers published less than 95 years ago, be alert for potentially copyrighted third?party material; quote only what you need and cite the source."	"Start: front-page notice of Roosevelt’s death includes the line noting Truman was sworn in—an initial, respectful framing of his constitutional succession. End: a regional editorial attacks Truman’s Fair Deal as over-taxing/“welfare state,” reflecting organized late-term hostility during the 1952 election year."	Truman sworn in chief executive April 1945; Truman Fair Deal criticism taxes welfare state 1952
Dwight D. Eisenhower	1953-01-20	1961-01-20	Magazine (national)	National Affairs: Great Day	TIME	"Feb 2, 1953"	1	https://time.com/archive/6620167/national-affairs-great-day/	Magazine (national)	FOREIGN RELATIONS: Bureaucracy & the U-2	TIME	"Jun 13, 1960"	1+N35	https://time.com/archive/6873654/foreign-relations-bureaucracy-the-u-2/	Office of the Historian (history.state.gov)	"Chronicling America pages are believed to be public domain or to have no known copyright restrictions. For newspapers published less than 95 years ago, be alert for potentially copyrighted third?party material; quote only what you need and cite the source."	"Note: the ‘WE STILL LIKE IKE’ item is late-term (1960) but documents continued popular affection amid Cold War crises. The May 24, 1960 Star story reports growing opposition in Japan to Eisenhower’s planned visit, tied to anger over the U?2 incident—evidence of controversy and backlash near the end of his presidency."	Eisenhower 'We still like Ike' headline 1960; opposition to Eisenhower Japan visit U-2 incident May 1960
John F. Kennedy	1961-01-20	1963-11-22	Inaugural Address (JFK Library primary-source transcript)	"Inaugural Address, January 20, 1961"	John F. Kennedy Presidential Library and Museum	1961-01-20	N/A (web)	https://www.jfklibrary.org/archives/other-resources/john-f-kennedy-speeches/inaugural-address-19610120	Historical summary (JFK Library)	Welcome Mr. Kennedy to Dallas…	Anti-Kennedy ad by the American Fact-Finding Committee	1963-11-22	N/A (web)	https://www.jfklibrary.org/learn/about-jfk/jfk-in-history/november-22-1963-death-of-the-president	https://www.jfk.org/collections-archive/welcome-mr-kennedy-ad/	"Official educational archive. For student fair use: quote short excerpts, link to the source, and add your own commentary/analysis; do not repost large portions of text/media."	Start item: JFK’s inaugural address transcript (1961). End item: Obit like ad from before he was killed	John F. Kennedy inauguration newspaper; John F. Kennedy criticism end of term newspaper; site:loc.gov chroniclingamerica
Lyndon B. Johnson	1963-11-22	1969-01-20	Wire-service news story (UPI Archives)	Johnson grimly determined to carry on Kennedy's tasks	UPI (United Press International)	1963-11-23	N/A (wire story)	https://www.upi.com/Archives/1963/11/23/Johnson-grimly-determined-to-carry-on-Kennedys-tasks/9063415701570/	Magazine (national)	THE BOMBING HALT: Johnson’s Gamble for Peace	TIME	"Nov 8, 1968"	N/A (wire story)	https://time.com/archive/6638565/the-bombing-halt-johnsons-gamble-for-peace/	Gallup News (news.gallup.com)	UPI content is copyrighted; access/usage may require permission or licensing. Use only short excerpts/headlines and secure rights as needed.	Start-of-term context: LBJ assumes office after JFK assassination (Nov. 1963). End-of-term context: UPI retrospective as LBJ prepares to leave office (Jan. 1969).	LBJ 1963 carry on Kennedy tasks UPI; LBJ leaves office 1969 puts faith in history UPI
Richard Nixon	1969-01-20	1974-08-09	Photo archive caption (UPI News Photos)	Richard M. Nixon takes the oath of office as the 37th President of the United States (photo/caption)	UPI Photos (United Press International)	1969-01-20	N/A (photo archive)	https://www.upi.com/News_Photos/Archives/Richard-Nixon/550/4/	Wire-service news story (UPI Archives)	Nixon quits on TV tonight; Ford to take oath Friday	UPI (United Press International)	1974-08-08	N/A (wire story)	https://www.upi.com/Archives/1974/08/08/Nixon-quits-on-TV-tonight-Ford-to-take-oath-Friday/1329545708182/	UPI News Photos; UPI Archives (upi.com)	UPI content is copyrighted; access/usage may require permission or licensing. Use only short excerpts/headlines and secure rights as needed.	"Start item documents Nixon’s inauguration (Jan. 20, 1969). End item covers Nixon’s resignation announcement (Aug. 8, 1974)."	Nixon inauguration oath photo UPI 1969; Nixon resigns quits on TV UPI Aug 8 1974
Gerald Ford	1974-08-09	1977-01-20	Photo archive caption (UPI News Photos)	Gerald Ford is sworn in as President of the United States (photo/caption)	UPI Photos (United Press International)	1974-08-09	N/A (photo archive)	https://www.upi.com/News_Photos/view/upi/fe949c6c334f64257e7ce5004dbed40a/Gerald-Ford-is-sworn-in-as-President-of-the-United-States/	Magazine (national)	Special Report: LEADERSHIP: THE BIGGEST ISSUE	TIME	"Nov 8, 1976"	N/A (wire story)	https://time.com/archive/6852254/special-report-leadership-the-biggest-issue/	Gerald R. Ford Presidential Library (fordlibrarymuseum.gov)	UPI content is copyrighted; access/usage may require permission or licensing. Use only short excerpts/headlines and secure rights as needed.	"Start item documents Ford’s swearing-in after Nixon resignation (Aug. 9, 1974). End item covers Ford’s concession after 1976 election (Nov. 3, 1976)."	Ford sworn in UPI photo Aug 9 1974; Ford concedes Carter Nov 3 1976 UPI
Jimmy Carter	1977-01-20	1981-01-20	Wire-service news story (UPI Archives)	His name is Jimmy Carter and he's the President now	UPI (United Press International)	1977-01-20	N/A (wire story)	https://www.upi.com/Archives/1977/01/20/His-name-is-Jimmy-Carter-and-hes-the-President-now/6203270054318/	Magazine (national)	Nation: Not Yes Men	TIME	"Oct 1, 1979"	N/A (wire story)	https://time.com/archive/6880544/nation-not-yes-men/	Gallup News (news.gallup.com)	UPI content is copyrighted; access/usage may require permission or licensing. Use only short excerpts/headlines and secure rights as needed.	"Start item covers Carter taking office (Jan. 20, 1977). End item covers Carter’s 1980 election concession (Nov. 4, 1980)."	Carter sworn in UPI Jan 20 1977; Carter concedes Reagan Nov 4 1980 UPI
Ronald Reagan	1981-01-20	1989-01-20	Wire-service news story (UPI Archives)	Confident Reagan takes over	UPI (United Press International)	1981-01-20	N/A (wire story)	https://www.upi.com/Archives/1981/01/20/Confident-Reagan-takes-over/4219148913728/	Wire-service news story (UPI Archives)	"President Reagan, musing on the worst scandal of his administration on his last full day in the White House"	UPI (United Press International)	1989-01-19	N/A (wire story)	https://www.upi.com/Archives/1989/01/19/President-Reagan-musing-on-the-worst-scandal-of-his/7918601189200/	UPI Archives (upi.com/Archives)	UPI content is copyrighted; access/usage may require permission or licensing. Use only short excerpts/headlines and secure rights as needed.	"Start item covers Reagan’s inauguration (Jan. 20, 1981). End item is from Reagan’s final full day in office (Jan. 19, 1989), reflecting on administration scandals."	Reagan takes over UPI Jan 20 1981; Reagan last full day scandal UPI Jan 19 1989
George H. W. Bush	1989-01-20	1993-01-20	Wire-service news story (UPI Archives)	"President Bush, declaring that 'a new breeze is blowing,' offered a hand of compromise..."	UPI (United Press International)	1989-01-20	N/A (wire story)	https://www.upi.com/Archives/1989/01/20/President-Bush-declaring-that-a-new-breeze-is-blowing/6758601275600/	Polling/report (nonpartisan research)	Americans want Bush call for Public Works/Job Program	Pew Research Center	"Jan 16, 1992"	N/A (wire story)	https://www.pewresearch.org/politics/1992/01/16/americans-want-bush-call-for-public-worksjob-program/	Pew Research center	UPI content is copyrighted; access/usage may require permission or licensing. Use only short excerpts/headlines and secure rights as needed.	"Start item covers George H.W. Bush’s inauguration (Jan. 20, 1989). End item covers Bush’s final days in office (Jan. 19, 1993)."	George H.W. Bush inauguration new breeze UPI Jan 20 1989; Bush winds up presidency UPI Jan 19 1993
Bill Clinton	1993-01-20	2001-01-20	Magazine (national)	Taking Command with A Call to Change	TIME	"Feb 1, 1993"	N/A (online archive)	https://time.com/archive/6722293/taking-command-with-a-call-to-change/	Magazine (national)	America Shakes Its Head	TIME	"Jan 23, 1998"	N/A (online archive)	https://time.com/archive/6918020/america-shakes-its-head/	Gallup News (news.gallup.com)	Washington Post content is copyrighted and may be paywalled. Use only short excerpts/headlines; obtain permissions/subscriptions as needed.	Start item documents Clinton’s inauguration (Jan. 1993). End item reflects post-presidency scrutiny of a major last-day pardon (Jan. 2001) tied to the end-of-term clemency spree.	Washington Post Clinton takes oath Jan 1993; Washington Post Marc Rich pardon Jan 2001 fugitive pardon ended effort
George W. Bush	2001-01-20	2009-01-20	Newspaper archive article (The Washington Post)	"Bush Calls for Unity, Civility"	The Washington Post	2001-01-20	N/A (online archive)	https://www.washingtonpost.com/archive/politics/2001/01/21/bush-calls-for-unity-civility/b5b9b90f-ce66-45fb-a8d5-c9bf0f6198c7/	News wire article (Reuters)	"Bush legacy shaped by war, economic crisis"	Reuters	2009-01-13	N/A (online)	https://www.reuters.com/article/world/bush-legacy-shaped-by-war-economic-crisis-idUSTRE50C1A1/	The Washington Post online archives; Reuters (reuters.com)	Washington Post and Reuters content is copyrighted; some access may be paywalled/licensed. Use short excerpts/headlines; obtain permissions as needed.	Start item covers Bush’s inauguration and unity theme (Jan. 2001). End item is a Reuters look-back on Bush’s legacy and low approval as he leaves office (Jan. 2009).	Washington Post Bush calls for unity civility Jan 2001; Reuters Bush legacy shaped by war economic crisis Jan 2009
Barack Obama	2009-01-20	2017-01-20	News wire article (Reuters)	Crowds Descend on National Mall to Celebrate Inauguration	PBS NewsHour	2009-01-20	N/A (online)	https://www.pbs.org/newshour/show/crowds-descend-on-national-mall-to-celebrate-inauguration	Polling/report (nonpartisan research)	Leak investigations and surveillance in post-9/11 America	CPJ	2013-10-10	N/A (online)	https://cpj.org/reports/2013/10/obama-and-the-press-us-leaks-surveillance-post-911/	Reuters (reuters.com)	Reuters content is copyrighted and may require licensing for republication. Use only short excerpts/headlines; obtain permissions as needed.	"Start item is Reuters reporting on inauguration day (Jan. 20, 2009). End item reflects Obama’s transition out of office and posture after leaving the White House (Jan. 19, 2017)."	Reuters Obama presidency Jan 20 2009; Reuters Obama quiet after White House defend core values Jan 19 2017
Donald Trump	2017-01-20	2021-01-20	News wire article (Reuters)	"Trump, now president, pledges to put 'America First' in nationalist speech"	Reuters	2017-01-20	N/A (online)	https://www.reuters.com/article/world/trump-now-president-pledges-to-put-america-first-in-nationalist-speech-idUSKBN1540GX/	News wire article (Reuters)	"We will be back in some form,' Trump vows at end of tumultuous presidency"	Reuters	2021-01-20	N/A (online)	https://www.reuters.com/world/us/we-will-be-back-some-form-trump-vows-end-tumultuous-presidency-2021-01-20/	Reuters (reuters.com)	Reuters content is copyrighted and may require licensing for republication. Use only short excerpts/headlines; obtain permissions as needed.	Start item covers Trump’s inauguration and inaugural address themes (Jan. 2017). End item covers Trump’s departure and end-of-term context (Jan. 2021).	Reuters Trump now president America First Jan 2017; Reuters Trump end of tumultuous presidency Jan 20 2021
Joe Biden	2021-01-20	2025-01-20	News wire article (Reuters)	Biden sworn in as U.S. president	Reuters	2021-01-20	N/A (online)	https://www.reuters.com/article/world/biden-sworn-in-as-u-s-president-idUSKBN29P2AD/	News wire article (Reuters)	"As term nears its end, Biden presidency viewed less favorably by Americans than Trump or Obama, AP-NORC poll finds"	PBS	2025-01-10	N/A (online)	https://www.pbs.org/newshour/politics/as-term-nears-its-end-biden-presidency-viewed-less-favorably-by-americans-than-trump-or-obama-ap-norc-poll-finds	Reuters (reuters.com)	Reuters content is copyrighted and may require licensing for republication. Use only short excerpts/headlines; obtain permissions as needed.	"Start item covers Biden’s inauguration (Jan. 20, 2021). End item reflects Biden’s farewell/legacy framing shortly before leaving office (Jan. 2025)."	Reuters Biden sworn in Jan 20 2021; Reuters Biden farewell oligarchy forming Jan 2025
James Buchanan (alt sources: DC + NY)	1857-03-04	1861-03-04	Inauguration coverage / notice	“...pictures of the Inaugural procession... Mr. Buchanan entering the line of procession... his arrival at the White House...”	"Evening star (Washington, D.C.)"	1857-03-14	Image 2 (seq-2)	https://chroniclingamerica.loc.gov/lccn/sn83045462/1857-03-14/ed-1/seq-2/ocr/	Political commentary / retrospective jab	“Forney was then turned out of Buchanan's kitchen... [a] political mendicant...” (amid crisis coverage near end of term)	"New-York herald (New York, N.Y.)"	1861-02-05	Image 4 (seq-4)	https://chroniclingamerica.loc.gov/lccn/sn83030313/1861-02-05/ed-1/seq-4/ocr/	Library of Congress – Chronicling America (Historic American Newspapers)	Public domain (U.S.): newspapers published in 1857 and 1861 are >95 years old; LOC notes no known copyright restrictions for these pages.	"User asked for non-Georgia regional sources for Buchanan: start-of-term proximity coverage from Washington, D.C.; near-end-of-term political commentary from New York during the secession crisis period."	"Buchanan inaugural procession ""entering the line of procession"" Evening Star 1857; ""Buchanan's kitchen"" Forney turned out New-York herald Feb 1861"
Jimmy Carter (alt sources: GA Historic Newspapers)	1977-01-20	1981-01-20	Inaugural-era editorial praise / optimism	For such a time as this	"The Covington news. (Covington, Ga.)"	1977-01-20	2A (Image 2 / seq 2)	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn89053257/1977-01-20/ed-1/seq-2/ocr/	End-of-term election defeat coverage	Reagen Next U.S. President	"The Forsyth County news. (Cumming, Ga.)"	1980-11-05	1 (Image 1 / seq 1)	https://gahistoricnewspapers.galileo.usg.edu/lccn/sn84007709/1980-11-05/ed-1/seq-1/ocr/	Georgia Historic Newspapers (GALILEO Digital Library of Georgia newspapers portal)	"Digitized historical newspaper page. For a student / educational database, use short excerpts or low?resolution thumbnails and always link back to the source page. Rights/permissions can vary by title and year, so double?check before re?publishing full images."	Duplicate row retained as an alternate-source record; student newspaper reference removed.	same as Carter row 40
